test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
Hibadh	Hibadh	Hibadh	chr6:52546229-52640300	SQ	IV	OK	63.9676	71.6957	0.164545	0.475191	0.3797	0.623091	no
Zxdb	Zxdb	Zxdb	chrX:94724568-94730191	SQ	IV	OK	1.59308	1.95638	0.296369	0.466227	0.38	0.623474	no
Zdhhc17	Zdhhc17	Zdhhc17	chr10:110941779-111010066	SQ	IV	OK	3.06342	3.66732	0.25958	0.475466	0.3801	0.623474	no
Aldh9a1	Aldh9a1	Aldh9a1	chr1:167349990-167368530	SQ	IV	OK	43.7731	39.0559	-0.164504	-0.480107	0.38015	0.623474	no
Tnfrsf23	Tnfrsf23	Tnfrsf23	chr7:143628069-143685875	SQ	IV	OK	1.77086	0.993547	-0.833792	-0.550759	0.38015	0.623474	no
Slco3a1	Slco3a1	Slco3a1	chr7:74275417-74554780	SQ	IV	OK	27.2981	24.1487	-0.176855	-0.474061	0.38025	0.623549	no
Gtpbp3	Gtpbp3	Gtpbp3	chr8:71488727-71511769	SQ	IV	OK	3.30697	4.19391	0.342785	0.472266	0.38035	0.623611	no
Mrpl36	Mrpl36	Mrpl36	chr13:73331008-73332178	SQ	IV	OK	147.091	164.845	0.164401	0.476249	0.3804	0.623611	no
4930522P08Rik	4930522P08Rik	4930522P08Rik	chr8:70510485-70512600	SQ	IV	OK	0.854697	0.863706	0.0151261	0.00563441	0.38045	0.623611	no
Pacs1	Pacs1	Pacs1	chr19:5133684-5273119	SQ	IV	OK	25.5027	28.5164	0.161142	0.468416	0.38055	0.62366	no
Pigc	Pigc	Pigc	chr1:161942088-161979636	SQ	IV	OK	8.54227	9.86684	0.207968	0.4708	0.38065	0.62366	no
Vwa5a	Vwa5a	Vwa5a	chr9:38718267-38743337	SQ	IV	OK	8.19227	9.41951	0.201389	0.472111	0.38065	0.62366	no
A430005L14Rik	A430005L14Rik	A430005L14Rik	chr4:153957236-153961924	SQ	IV	OK	117.971	105.03	-0.167631	-0.474397	0.3807	0.62366	no
Dync1li2	Dync1li2	Dync1li2	chr8:104417673-104443047	SQ	IV	OK	11.5519	10.1601	-0.185224	-0.47302	0.38075	0.62366	no
Dapk3	Dapk3	Dapk3	chr10:81183006-81193197	SQ	IV	OK	36.5271	41.2819	0.176542	0.466614	0.38105	0.624043	no
H2ac1	H2ac1	H2ac1	chr13:23934436-23934913	SQ	IV	OK	19.0767	14.7577	-0.370343	-0.449721	0.3811	0.624043	no
Pmch	Pmch	Pmch	chr10:88091071-88146941	SQ	IV	OK	0.152815	0.892219	2.54561	0.370455	0.38115	0.624043	no
Taf13	Taf13	Taf13	chr3:108571698-108582068	SQ	IV	OK	24.0516	20.6338	-0.221123	-0.476341	0.3812	0.624043	no
Cox7a1	Cox7a1	Cox7a1	chr7:30184170-30186030	SQ	IV	OK	3.19805	5.43242	0.764403	0.445444	0.38135	0.624097	no
Gm20517	Gm20517	Gm20517	chr17:47611584-47694736	SQ	IV	OK	2.83005	1.13427	-1.31907	-0.308086	0.3814	0.624097	no
Lpar2	Lpar2	Lpar2	chr8:69822564-69831102	SQ	IV	OK	0.810177	0.612208	-0.404216	-0.457687	0.3814	0.624097	no
Exoc4	Exoc4	Exoc4	chr6:33249127-33973978	SQ	IV	OK	11.6754	13.2158	0.178801	0.468696	0.38145	0.624097	no
Cep78	Cep78	Cep78	chr19:15955772-15984989	SQ	IV	OK	9.88117	8.4357	-0.228174	-0.471815	0.3818	0.624398	no
Abca2	Abca2	Abca2	chr2:25428598-25448540	SQ	IV	OK	13.709	12.2472	-0.162676	-0.463136	0.38185	0.624398	no
Rab11fip1	Rab11fip1	Rab11fip1	chr8:27138772-27174646	SQ	IV	OK	4.10506	4.75433	0.211838	0.472137	0.38185	0.624398	no
Stk17b	Stk17b	Stk17b	chr1:53755511-53785215	SQ	IV	OK	145.968	161.502	0.145902	0.462576	0.38185	0.624398	no
Tmem231	Tmem231	Tmem231	chr8:111912006-111933813	SQ	IV	OK	0.71121	1.3061	0.876916	0.737005	0.38195	0.624473	no
Clpp	Clpp	Clpp	chr17:56990263-56996371	SQ	IV	OK	69.8216	61.7268	-0.177776	-0.475745	0.38215	0.624622	no
Paip1	Paip1	Paip1	chr13:119428599-119460323	SQ	IV	OK	0.778954	1.039	0.415592	0.471818	0.38215	0.624622	no
Yars2	Yars2	Yars2	chr16:16302964-16309640	SQ	IV	OK	35.3405	31.0727	-0.185678	-0.467359	0.3824	0.624929	no
Tsr3	Tsr3	Tsr3	chr17:25240169-25256364	SQ	IV	OK	51.8534	62.5172	0.269814	0.443729	0.38245	0.624929	no
Zfyve19	Zfyve19	Zfyve19	chr2:119172499-119217050	SQ	IV	OK	20.6469	23.8082	0.205539	0.471009	0.3825	0.624929	no
Prdx6b	Prdx6b	Prdx6b	chr2:80292469-80295358	SQ	IV	OK	6.14796	7.2189	0.23167	0.458818	0.3829	0.625494	no
Dennd11	Dennd11	Dennd11	chr6:40401374-40436135	SQ	IV	OK	1.0943	1.35788	0.311346	0.464351	0.38305	0.625643	no
Ip6k1	Ip6k1	Ip6k1	chr9:108002647-108048782	SQ	IV	OK	29.1535	32.5122	0.157313	0.466608	0.3831	0.625643	no
Endov	Endov	Endov	chr11:119491346-119511465	SQ	IV	OK	4.99126	5.78807	0.21368	0.468644	0.3832	0.625711	no
Pnpla7	Pnpla7	Pnpla7	chr2:24976032-25054072	SQ	IV	OK	8.19809	9.37893	0.194135	0.464049	0.38325	0.625711	no
Dmtf1	Dmtf1	Dmtf1	chr5:9100736-9161776	SQ	IV	OK	20.875	17.6486	-0.242226	-0.480134	0.38345	0.625949	no
Trim34a	Trim34a	Trim34a	chr7:104244456-104262236	SQ	IV	OK	29.034	25.7969	-0.170547	-0.468489	0.3836	0.626105	no
Gprin3	Gprin3	Gprin3	chr6:59352460-59426306	SQ	IV	OK	4.82789	4.00469	-0.269702	-0.473572	0.38385	0.626417	no
Fam178b	Fam178b	Fam178b	chr1:36562695-36683183	SQ	IV	OK	2.1579	2.73724	0.343093	0.445784	0.3839	0.626417	no
Ccdc117	Ccdc117	Ccdc117	chr11:5528887-5542217	SQ	IV	OK	23.0281	20.4261	-0.172986	-0.46955	0.38405	0.626574	no
N4bp3	N4bp3	N4bp3	chr11:51643088-51657681	SQ	IV	OK	11.5298	9.74678	-0.242366	-0.469149	0.3844	0.627056	no
S100a3	S100a3	S100a3	chr3:90584658-90602706	SQ	IV	OK	2.25406	3.69038	0.711244	0.52186	0.3845	0.62713	no
Hist1h4m	Hist1h4m	Hist1h4m	chr13:21811745-21812150	SQ	IV	OK	12.4767	8.8017	-0.503383	-0.455144	0.38465	0.62719	no
Nqo2	Nqo2	Nqo2	chr13:33917917-34035170	SQ	IV	OK	8.23142	5.55328	-0.567803	-0.529119	0.38465	0.62719	no
Mavs	Mavs	Mavs	chr2:131234062-131248024	SQ	IV	OK	26.4771	29.7562	0.168447	0.463249	0.3847	0.62719	no
5033406O09Rik	5033406O09Rik	5033406O09Rik	chr12:111941990-111944482	SQ	IV	OK	0.663689	1.07398	0.694389	0.431736	0.3849	0.627339	no
H4c9	H4c9	H4c9	chr13:22040959-22041362	SQ	IV	OK	22.4397	16.9543	-0.4044	-0.459378	0.3849	0.627339	no
Eef1akmt1	Eef1akmt1	Eef1akmt1	chr14:57549594-57571582	SQ	IV	OK	100.53	113.33	0.172904	0.47138	0.385	0.627385	no
Ggt1	Ggt1	Ggt1	chr10:75568661-75586191	SQ	IV	OK	30.4531	34.4795	0.179148	0.472347	0.38505	0.627385	no
Plin3	Plin3	Plin3	chr17:56278961-56290511	SQ	IV	OK	46.0505	41.0415	-0.166135	-0.461733	0.38515	0.627385	no
Ptges3l	Ptges3l	Ptges3l	chr11:101418811-101435665	SQ	IV	OK	1.79123	3.42726	0.936102	0.595327	0.38515	0.627385	no
Ppan	Ppan	Ppan	chr9:20888174-20892179	SQ	IV	OK	47.5436	42.0526	-0.177058	-0.468191	0.3852	0.627385	no
Secisbp2l	Secisbp2l	Secisbp2l	chr2:125736985-125782870	SQ	IV	OK	6.52546	7.41428	0.184227	0.464483	0.38535	0.62754	no
Prpf39	Prpf39	Prpf39	chr12:65036333-65073938	SQ	IV	OK	13.9633	10.6977	-0.384336	-0.46593	0.38565	0.627837	no
Eef2kmt	Eef2kmt	Eef2kmt	chr16:5233620-5255956	SQ	IV	OK	13.2201	15.862	0.262836	0.467635	0.38575	0.627837	no
Prrg2	Prrg2	Prrg2	chr7:45053606-45061652	SQ	IV	OK	1.30899	2.01012	0.618832	0.468341	0.38575	0.627837	no
Terf1	Terf1	Terf1	chr1:15805645-15844052	SQ	IV	OK	22.6815	19.9543	-0.184815	-0.458576	0.38575	0.627837	no
Sfi1	Sfi1	Sfi1	chr11:3124001-3200652	SQ	IV	OK	3.21387	4.30743	0.422519	0.471745	0.38585	0.627911	no
Trir	Trir	Trir	chr8:85026832-85030291	SQ	IV	OK	155.181	173.361	0.159824	0.467986	0.38595	0.627986	no
Fam220a	Fam220a	Fam220a	chr5:143548719-143564531	SQ	IV	OK	2.51407	3.23468	0.363597	0.476765	0.38635	0.628548	no
Ndufs3	Ndufs3	Ndufs3	chr2:90894626-90904721	SQ	IV	OK	109.42	122.793	0.166351	0.466777	0.3865	0.628703	no
Ccrl2	Ccrl2	Ccrl2	chr9:111054833-111057518	SQ	IV	OK	0.544064	1.2341	1.18161	0.813752	0.38675	0.628822	no
Rara	Rara	Rara	chr11:98937695-98974942	SQ	IV	OK	13.2437	15.1421	0.193252	0.462418	0.3868	0.628822	no
Cdc14a	Cdc14a	Cdc14a	chr3:116272552-116424032	SQ	IV	OK	7.21799	6.25037	-0.207655	-0.460525	0.38685	0.628822	no
Nfatc3	Nfatc3	Nfatc3	chr8:106058817-106130537	SQ	IV	OK	53.9709	48.6841	-0.148732	-0.469599	0.38685	0.628822	no
Slc38a2	Slc38a2	Slc38a2	chr15:96687391-96699728	SQ	IV	OK	20.4119	18.2099	-0.16469	-0.467537	0.38685	0.628822	no
Gm10364	Gm10364	Gm10364	chr14:55038461-55042976	SQ	IV	OK	2.21915	1.56428	-0.50451	-0.454673	0.3869	0.628822	no
Atp7a	Atp7a	Atp7a	chrX:106027223-106128160	SQ	IV	OK	1.72673	1.43683	-0.265151	-0.460207	0.3871	0.628962	no
Med27	Med27	Med27	chr2:29346809-29524790	SQ	IV	OK	39.5521	34.6817	-0.18958	-0.466934	0.3871	0.628962	no
Lrmp	Lrmp	Lrmp	chr6:145115635-145210970	SQ	IV	OK	114.751	127	0.146324	0.460177	0.38715	0.628962	no
Gphn	Gphn	Gphn	chr12:78226654-78684769	SQ	IV	OK	3.64181	4.3962	0.271602	0.467348	0.38725	0.629036	no
B3galt6	B3galt6	B3galt6	chr4:155989465-155992678	SQ	IV	OK	6.1829	5.23842	-0.23915	-0.465873	0.3876	0.62942	no
Srsf4	Srsf4	Srsf4	chr4:131873636-131920029	SQ	IV	OK	101.627	91.372	-0.153466	-0.471148	0.38765	0.62942	no
Taf12	Taf12	Taf12	chr4:132274374-132293330	SQ	IV	OK	89.7176	80.1356	-0.162947	-0.468078	0.38765	0.62942	no
Sema4d	Sema4d	Sema4d	chr13:51701247-51793747	SQ	IV	OK	62.0729	68.6839	0.146009	0.463035	0.38795	0.629811	no
Gtpbp6	Gtpbp6	Gtpbp6	chr5:110099968-110108197	SQ	IV	OK	15.9901	18.7444	0.229275	0.466027	0.388	0.629811	no
Mir130c	Mir130c	Mir130c	chr9:53384022-53401867	SQ	IV	OK	242.228	10.7288	-4.4968	-0.32473	0.3882	0.630047	no
Zfp971	Zfp971	Zfp971	chr2:178023283-178035859	SQ	IV	OK	1.87142	2.7774	0.569601	0.458561	0.38835	0.630083	no
Gatd1	Gatd1	Gatd1	chr7:141408183-141414125	SQ	IV	OK	41.7024	47.2241	0.179393	0.470267	0.3884	0.630083	no
Mbtd1	Mbtd1	Mbtd1	chr11:93885849-93946989	SQ	IV	OK	3.27188	2.75268	-0.249286	-0.466997	0.3884	0.630083	no
Ube2h	Ube2h	Ube2h	chr6:30211289-30304539	SQ	IV	OK	29.8933	33.3583	0.158224	0.463147	0.38845	0.630083	no
Tmco6	Tmco6	Tmco6	chr18:36735069-36744587	SQ	IV	OK	8.45335	5.26446	-0.683237	-0.440826	0.3885	0.630083	no
Snx16	Snx16	Snx16	chr3:10417816-10440130	SQ	IV	OK	3.56346	2.86589	-0.314293	-0.462884	0.38855	0.630083	no
Ebp	Ebp	Ebp	chrX:8185328-8193512	SQ	IV	OK	91.0554	101.258	0.153217	0.462421	0.38875	0.630215	no
Dnaja1	Dnaja1	Dnaja1	chr4:40720153-40734965	SQ	IV	OK	98.0329	88.3812	-0.149526	-0.468962	0.3888	0.630215	no
Mir3068	Mir3068	Mir3068	chr12:87428077-87472299	SQ	IV	OK	14.1324	83.2456	2.55836	4.34735	0.38885	0.630215	no
Polr1d	Polr1d	Polr1d	chr5:147077345-147111361	SQ	IV	OK	174.269	156.412	-0.155961	-0.458547	0.38885	0.630215	no
Snord89	Snord89	Snord89	chr1:39548746-39548840	SQ	IV	OK	175.95	69.2582	-1.34511	-0.665788	0.38905	0.630243	no
9530077C05Rik	9530077C05Rik	9530077C05Rik	chr9:22411510-22444685	SQ	IV	OK	1.39291	1.94971	0.485152	0.456343	0.3891	0.630243	no
Xcr1	Xcr1	Xcr1	chr9:123852314-123862029	SQ	IV	OK	0.8168	0.600134	-0.444699	-0.454392	0.3891	0.630243	no
Pigk	Pigk	Pigk	chr3:152714099-152789013	SQ	IV	OK	14.0597	12.463	-0.173912	-0.459821	0.38915	0.630243	no
Ambra1	Ambra1	Ambra1	chr2:91730137-91918849	SQ	IV	OK	12.2479	10.849	-0.174971	-0.459774	0.3892	0.630243	no
Coasy	Coasy	Coasy	chr11:101082564-101086619	SQ	IV	OK	31.7033	28.0143	-0.178473	-0.459132	0.38925	0.630243	no
H2bc3	H2bc3	H2bc3	chr13:23746733-23747223	SQ	IV	OK	4.15352	2.64631	-0.650351	-0.442281	0.38925	0.630243	no
Ctdspl2	Ctdspl2	Ctdspl2	chr2:121953770-122015326	SQ	IV	OK	12.9006	11.5016	-0.165601	-0.464181	0.38935	0.630316	no
2610318N02Rik	2610318N02Rik	2610318N02Rik	chr16:17113397-17125202	SQ	IV	OK	45.4265	39.9551	-0.185156	-0.462789	0.38955	0.630463	no
Gm7977	Gm7977	Gm7977	chr3:48026011-48026759	SQ	IV	OK	27.0771	22.7621	-0.250443	-0.453646	0.38955	0.630463	no
Yeats2	Yeats2	Yeats2	chr16:20141062-20232573	SQ	IV	OK	10.0087	8.79637	-0.186277	-0.464028	0.38965	0.630529	no
Acot9	Acot9	Acot9	chrX:155262442-155297654	SQ	IV	OK	47.0097	52.7811	0.167063	0.464571	0.3897	0.630529	no
Cpt2	Cpt2	Cpt2	chr4:107903981-107923589	SQ	IV	OK	30.2534	33.996	0.168269	0.459166	0.3901	0.631065	no
Mir704	Mir704	Mir704	chr6:47796140-47813512	SQ	IV	OK	419.909	71.487	-2.55433	-5.20039	0.3902	0.631065	no
Rrad	Rrad	Rrad	chr8:104628069-104631289	SQ	IV	OK	28.6455	32.5816	0.18575	0.454938	0.3902	0.631065	no
Rhno1	Rhno1	Rhno1	chr6:128356999-128362911	SQ	IV	OK	59.5789	52.8951	-0.171667	-0.471092	0.39025	0.631065	no
Ctsc	Ctsc	Ctsc	chr7:88278084-88315861	SQ	IV	OK	52.511	58.0836	0.14551	0.455683	0.39045	0.6313	no
Gtf2h4	Gtf2h4	Gtf2h4	chr17:35667727-35673743	SQ	IV	OK	18.8591	16.2483	-0.214971	-0.46799	0.3906	0.631454	no
A430033K04Rik	A430033K04Rik	A430033K04Rik	chr5:138622858-138648905	SQ	IV	OK	4.03186	4.81754	0.256851	0.456825	0.3907	0.631527	no
Lsm14b	Lsm14b	Lsm14b	chr2:180024986-180035461	SQ	IV	OK	0.490073	0.728631	0.572191	0.438079	0.3909	0.631761	no
Ap1s1	Ap1s1	Ap1s1	chr5:137034997-137046108	SQ	IV	OK	158.156	142.246	-0.152957	-0.468258	0.391	0.631796	no
Mir7084	Mir7084	Mir7084	chr9:22112985-22117195	SQ	IV	OK	244.067	33.9105	-2.84747	-14.2132	0.39105	0.631796	no
Smad5	Smad5	Smad5	chr13:56703009-56742378	SQ	IV	OK	2.71751	2.29655	-0.242819	-0.459271	0.3911	0.631796	no
Vhl	Vhl	Vhl	chr6:113623993-113631634	SQ	IV	OK	18.2799	16.0984	-0.183339	-0.459834	0.39115	0.631796	no
Rps11	Rps11	Rps11	chr7:45122387-45124389	SQ	IV	OK	1015.67	1122.27	0.143996	0.457512	0.3912	0.631796	no
Isg20	Isg20	Isg20	chr7:78913423-78920396	SQ	IV	OK	62.3484	54.6096	-0.191197	-0.46228	0.39125	0.631796	no
Aimp2	Aimp2	Aimp2	chr5:143871861-143909839	SQ	IV	OK	144.674	122.607	-0.238757	-0.465576	0.39165	0.632353	no
C430042M11Rik	C430042M11Rik	C430042M11Rik	chr17:83851671-83854418	SQ	IV	OK	1.97581	1.15716	-0.771861	-0.681597	0.3918	0.632418	no
Crlf3	Crlf3	Crlf3	chr11:80046492-80080991	SQ	IV	OK	165.623	182.891	0.143082	0.456582	0.3918	0.632418	no
Nudt15	Nudt15	Nudt15	chr14:73518879-73548242	SQ	IV	OK	2.26712	1.80679	-0.327432	-0.438286	0.3919	0.632491	no
Lyrm7	Lyrm7	Lyrm7	chr11:54826865-54860597	SQ	IV	OK	3.14982	2.221	-0.504065	-0.465741	0.39225	0.632968	no
Zcchc24	Zcchc24	Zcchc24	chr14:25711643-25769072	SQ	IV	OK	0.496894	0.705518	0.505744	0.465511	0.3925	0.633282	no
Vps45	Vps45	Vps45	chr3:95999831-96058455	SQ	IV	OK	16.7236	18.9733	0.182086	0.45392	0.3927	0.633516	no
Ralgds	Ralgds	Ralgds	chr2:28513166-28553082	SQ	IV	OK	4.18478	4.96417	0.246401	0.460113	0.39285	0.633662	no
Klc1	Klc1	Klc1	chr12:111758848-111813879	SQ	IV	OK	22.5204	18.9524	-0.248853	-0.462391	0.3929	0.633662	no
Cfap74	Cfap74	Cfap74	chr4:155400968-155466823	SQ	IV	OK	0.403918	0.885141	1.13184	0.507461	0.39315	0.633976	no
Neto2	Neto2	Neto2	chr8:85636717-85701021	SQ	IV	OK	1.28352	1.01469	-0.33907	-0.459083	0.3933	0.63413	no
Mrpl46	Mrpl46	Mrpl46	chr7:78775340-78783089	SQ	IV	OK	96.3218	107.743	0.161657	0.454558	0.39355	0.634444	no
Gmcl1	Gmcl1	Gmcl1	chr6:86691767-86733378	SQ	IV	OK	30.8169	34.4877	0.162358	0.461362	0.39365	0.634508	no
Sfr1	Sfr1	Sfr1	chr19:47731755-47735588	SQ	IV	OK	120.765	133.933	0.149315	0.455501	0.3937	0.634508	no
Galnt2	Galnt2	Galnt2	chr8:124231393-124345723	SQ	IV	OK	30.6128	27.4685	-0.156357	-0.45835	0.39395	0.634823	no
Nmt1	Nmt1	Nmt1	chr11:103028542-103068908	SQ	IV	OK	37.1326	33.4449	-0.150899	-0.458818	0.39405	0.634887	no
Kdm8	Kdm8	Kdm8	chr7:125444619-125462268	SQ	IV	OK	14.5523	12.6745	-0.199315	-0.457593	0.3941	0.634887	no
Thnsl1	Thnsl1	Thnsl1	chr2:21205723-21215009	SQ	IV	OK	2.2393	2.77967	0.311868	0.446835	0.39485	0.636006	no
Zfp207	Zfp207	Zfp207	chr11:80383278-80405873	SQ	IV	OK	240.496	217.525	-0.144834	-0.458683	0.3953	0.636642	no
Srrm2	Srrm2	Srrm2	chr17:23803186-23829109	SQ	IV	OK	41.2197	45.9984	0.15825	0.461192	0.3954	0.636714	no
Il15ra	Il15ra	Il15ra	chr2:11705292-11733985	SQ	IV	OK	11.5935	13.736	0.244644	0.45375	0.3958	0.637049	no
Cherp	Cherp	Cherp	chr8:72443879-72475233	SQ	IV	OK	24.9719	28.0803	0.169253	0.456364	0.3959	0.637049	no
Fam192a	Fam192a	Fam192a	chr8:94574940-94601726	SQ	IV	OK	70.8728	79.0497	0.157528	0.461218	0.39595	0.637049	no
Med23	Med23	Med23	chr10:24869985-24913529	SQ	IV	OK	6.78969	7.78555	0.197452	0.45489	0.39595	0.637049	no
Trim14	Trim14	Trim14	chr4:46505071-46601929	SQ	IV	OK	19.5431	22.7273	0.217766	0.461076	0.396	0.637049	no
Itgb7	Itgb7	Itgb7	chr15:102215994-102231935	SQ	IV	OK	495.058	549.074	0.149402	0.449078	0.39605	0.637049	no
Slc5a6	Slc5a6	Slc5a6	chr5:31036035-31054633	SQ	IV	OK	5.81861	4.0429	-0.525282	-0.519401	0.39605	0.637049	no
Sos2	Sos2	Sos2	chr12:69583760-69681852	SQ	IV	OK	4.80305	4.15015	-0.210788	-0.44948	0.39605	0.637049	no
Rpap3	Rpap3	Rpap3	chr15:97675104-97705822	SQ	IV	OK	13.7891	15.8026	0.196627	0.445545	0.39615	0.637113	no
Rnf114	Rnf114	Rnf114	chr2:167481135-167516173	SQ	IV	OK	183.436	204.691	0.158172	0.457909	0.3962	0.637113	no
Dctpp1	Dctpp1	Dctpp1	chr7:127256958-127260667	SQ	IV	OK	137.362	121.681	-0.174875	-0.454569	0.3963	0.637177	no
Zscan20	Zscan20	Zscan20	chr4:128583538-128610098	SQ	IV	OK	0.8346	1.07611	0.366673	0.453562	0.39635	0.637177	no
Aste1	Aste1	Aste1	chr9:105395361-105405756	SQ	IV	OK	8.20683	9.54208	0.217479	0.457417	0.3966	0.637481	no
Ift88	Ift88	Ift88	chr14:57424070-57517936	SQ	IV	OK	0.929997	1.24939	0.425924	0.43883	0.39665	0.637481	no
Polr2j	Polr2j	Polr2j	chr5:136116690-136122947	SQ	IV	OK	243.147	271.845	0.160952	0.463704	0.3968	0.637633	no
Arhgap45	Arhgap45	Arhgap45	chr10:79697304-80369637	SQ	IV	OK	243.374	379.295	0.640143	0.522128	0.39695	0.637786	no
Gm32687	Gm32687	Gm32687	chr10:81863890-81881086	SQ	IV	OK	1.0926	1.88104	0.783759	0.484211	0.39715	0.638018	no
Zfp444	Zfp444	Zfp444	chr7:6172512-6193104	SQ	IV	OK	11.7758	13.3094	0.176612	0.457726	0.39745	0.638411	no
4933439C10Rik	4933439C10Rik	4933439C10Rik	chr11:59485520-59511385	SQ	IV	OK	4.31008	6.74751	0.64664	0.448934	0.3977	0.638706	no
Zfp825	Zfp825	Zfp825	chr13:74478379-74493961	SQ	IV	OK	13.2903	15.6298	0.233923	0.452766	0.39775	0.638706	no
Mir7068	Mir7068	Mir7068	chr8:72443879-72475233	SQ	IV	OK	136.952	371.806	1.44088	0.256419	0.3978	0.638706	no
Slc37a1	Slc37a1	Slc37a1	chr17:31295482-31350698	SQ	IV	OK	20.575	23.1794	0.171946	0.456384	0.39795	0.638841	no
Ino80c	Ino80c	Ino80c	chr18:24104760-24121819	SQ	IV	OK	42.9806	38.5203	-0.158066	-0.447463	0.398	0.638841	no
Scoc	Scoc	Scoc	chr8:83434491-83458396	SQ	IV	OK	4.58779	3.66834	-0.322672	-0.456676	0.39805	0.638841	no
Lif	Lif	Lif	chr11:4257567-4272514	SQ	IV	OK	0.652172	0.374715	-0.79946	-0.624701	0.39825	0.638967	no
Tmed9	Tmed9	Tmed9	chr13:55593134-55597694	SQ	IV	OK	121.394	109.068	-0.154473	-0.456685	0.39825	0.638967	no
Ufc1	Ufc1	Ufc1	chr1:171288563-171295002	SQ	IV	OK	79.5166	89.2386	0.166412	0.450982	0.3983	0.638967	no
Wdr1	Wdr1	Wdr1	chr5:38526805-38561699	SQ	IV	OK	675.389	609.522	-0.148041	-0.447538	0.39835	0.638967	no
Gpr18	Gpr18	Gpr18	chr14:121876810-122021035	SQ	IV	OK	158.454	186.559	0.235569	0.448885	0.3985	0.639118	no
Gm13212	Gm13212	Gm13212	chr4:145585199-145625343	SQ	IV	OK	4.82281	4.06119	-0.247969	-0.456201	0.39865	0.63927	no
Ppp1r12a	Ppp1r12a	Ppp1r12a	chr10:108162097-108279985	SQ	IV	OK	17.1533	19.1331	0.157585	0.455538	0.39895	0.639662	no
4930486L24Rik	4930486L24Rik	4930486L24Rik	chr13:60842611-60864416	SQ	IV	OK	7.19119	5.79106	-0.312403	-0.452286	0.39905	0.639734	no
Gm11346	Gm11346	Gm11346	chr13:24582188-24733806	SQ	IV	OK	32.0542	48.5727	0.599634	0.443569	0.3992	0.639796	no
Sox13	Sox13	Sox13	chr1:133382299-133424212	SQ	IV	OK	2.57591	2.07824	-0.309723	-0.447446	0.3992	0.639796	no
Capn1	Capn1	Capn1	chr19:5988544-6018459	SQ	IV	OK	27.0232	30.2469	0.162589	0.453535	0.3993	0.639868	no
Dnttip2	Dnttip2	Dnttip2	chr3:122274413-122285271	SQ	IV	OK	64.5604	71.7726	0.152783	0.451364	0.39945	0.63993	no
Nckipsd	Nckipsd	Nckipsd	chr9:108808379-108818366	SQ	IV	OK	8.52923	9.86148	0.209388	0.454474	0.39945	0.63993	no
H4c12	H4c12	H4c12	chr13:21750144-21750553	SQ	IV	OK	5.69826	3.28989	-0.792484	-0.458116	0.3997	0.640135	no
Fam187b	Fam187b	Fam187b	chr7:30973803-30989725	SQ	IV	OK	0.104091	0.595305	2.51579	1.00214	0.39975	0.640135	no
Macroh2a1	Macroh2a1	Macroh2a1	chr13:56073621-56135550	SQ	IV	OK	259.561	286.228	0.141094	0.457821	0.39975	0.640135	no
Tshz1	Tshz1	Tshz1	chr18:84011626-84087708	SQ	IV	OK	11.7521	10.3944	-0.177111	-0.451363	0.3998	0.640135	no
BC029722	BC029722	BC029722	chr2:155775341-155819203	SQ	IV	OK	24.2795	21.0255	-0.207604	-0.461816	0.3999	0.640189	no
Naa30	Naa30	Naa30	chr14:49172245-49190888	SQ	IV	OK	9.80673	8.62551	-0.185163	-0.45237	0.4	0.640189	no
Stim1	Stim1	Stim1	chr7:102267818-102437318	SQ	IV	OK	24.0563	26.8583	0.158954	0.458772	0.4	0.640189	no
Ppp6r3	Ppp6r3	Ppp6r3	chr19:3454928-3575749	SQ	IV	OK	26.0148	23.3744	-0.154406	-0.449119	0.40015	0.640269	no
1700102H20Rik	1700102H20Rik	1700102H20Rik	chr17:3557823-3559863	SQ	IV	OK	1.42024	0.491847	-1.52985	-0.572612	0.4002	0.640269	no
Atpaf2	Atpaf2	Atpaf2	chr11:60400623-60417034	SQ	IV	OK	65.0226	58.2973	-0.15751	-0.448748	0.40025	0.640269	no
Acin1	Acin1	Acin1	chr14:54642160-54690742	SQ	IV	OK	22.2623	25.8623	0.216247	0.464016	0.40045	0.640269	no
Hyal2	Hyal2	Hyal2	chr9:107569162-107572778	SQ	IV	OK	12.2346	14.2382	0.218796	0.448065	0.40045	0.640269	no
Vrk2	Vrk2	Vrk2	chr11:26387083-26593920	SQ	IV	OK	30.5421	26.6305	-0.197719	-0.450199	0.40045	0.640269	no
Acbd3	Acbd3	Acbd3	chr1:180726042-180754204	SQ	IV	OK	16.9489	15.0248	-0.173854	-0.451854	0.4005	0.640269	no
Zfpl1	Zfpl1	Zfpl1	chr19:6080037-6084975	SQ	IV	OK	28.364	32.352	0.189794	0.450911	0.4005	0.640269	no
Ddx18	Ddx18	Ddx18	chr1:121553834-121567980	SQ	IV	OK	16.9016	19.2849	0.190312	0.452149	0.40055	0.640269	no
Top2b	Top2b	Top2b	chr14:16365205-16430787	SQ	IV	OK	43.3155	47.8904	0.144852	0.45629	0.40065	0.64034	no
H2bc21	H2bc21	H2bc21	chr3:96221071-96223738	SQ	IV	OK	1.9558	2.50221	0.355445	0.450704	0.4012	0.641024	no
